Video Name,Frames,Sex,Hand,Background,Illumination,People in Scene,Background Motion,Set,,,,,,,,,
1CM1_4_R__229,3751,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM1_4_R__230,3684,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM1_4_R__231,3747,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM1_4_R__232,3858,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM42_11_R__205,3686,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_11_R__206,4682,M,Right,Plain,Light,Single,Static,train,,,,,,,,,
1CM42_11_R__207,3682,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_11_R__208,3664,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_12_R__157,4287,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM42_12_R__158,4476,W,Right,Plain,Light,Single,Dynamic,train,,,,,,,,,
1CM42_12_R__159,4383,W,Right,Plain,Light,Single,Static,train,,,,,,,,,
1CM42_12_R__160,4434,W,Right,Plain,Light,Single,Static,train,,,,,,,,,
1CM42_13_R__141,3687,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_13_R__142,3747,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_13_R__143,3786,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_13_R__144,3859,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_17_R__189,3616,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_17_R__190,3601,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_17_R__191,3608,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CM42_17_R__192,3613,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_18_R__177,3675,W,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
1CM42_18_R__178,3665,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_18_R__179,3686,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_18_R__180,3618,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_21_R__153,4188,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_21_R__154,4543,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_21_R__155,4709,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_21_R__156,4241,M,Right,Clutter,Dark,Single,Static,train,,,,,,,,,
1CM42_26_R__173,3836,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
1CM42_26_R__174,3655,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
1CM42_26_R__175,3811,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
1CM42_26_R__176,3743,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
1CM42_3_R__193,4088,M,Left,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_3_R__194,3976,M,Left,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_3_R__195,4188,M,Left,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_3_R__196,3927,M,Left,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_32_R__169,4765,M,Right,Plain,Light,Single,Static,train,,,,,,,,,
1CM42_32_R__170,4543,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
1CM42_32_R__171,4242,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM42_32_R__172,4511,M,Right,Plain,Light,Single,Static,train,,,,,,,,,
1CM42_4_R__185,3637,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_4_R__186,3614,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_4_R__187,3771,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CM42_4_R__188,3650,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
1CM42_6_R__161,4077,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CM42_6_R__162,4026,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CM42_6_R__163,3866,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CM42_6_R__164,4444,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CM42_7_L__201,4291,W,Left,Clutter,Light,Single,Static,train,,,,,,,,,
1CM42_7_L__202,4014,W,Left,Clutter,Light,Single,Static,train,,,,,,,,,
1CM42_7_L__203,3882,W,Left,Clutter,Light,Single,Static,train,,,,,,,,,
1CM42_7_L__204,3846,W,Left,Clutter,Light,Single,Static,train,,,,,,,,,
1CM42_9_R__165,3988,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CM42_9_R__166,3710,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
1CM42_9_R__167,3792,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
1CM42_9_R__168,3988,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_1_R__65,4206,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
1CV12_1_R__66,4150,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
1CV12_1_R__67,4121,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_1_R__68,4242,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_13_R__93,4523,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
1CV12_13_R__94,4596,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
